Equation,Dimension,Noise_Level,Train_Error_U,Test_Error_U_OOD,Generator_Error_Phi,Peak_GPU_Mem(MB),CPU_RAM(MB)
Fokker_Planck,20,1.0%,1.930186e-03,3.162907e-02,9.411114e-02,613.51,1019.08
Fokker_Planck,20,5.0%,2.794890e-03,5.995210e-02,1.431244e-01,613.51,1020.07
Fokker_Planck,20,10.0%,2.338758e-03,1.003371e-01,2.031967e-01,613.51,1020.35
Fokker_Planck,20,20.0%,3.726443e-03,1.761488e-01,3.037093e-01,613.51,1020.35
Fokker_Planck,50,1.0%,6.893709e-04,2.884860e-02,1.078568e-01,630.97,1020.52
Fokker_Planck,50,5.0%,1.062257e-03,5.850338e-02,1.624039e-01,630.97,1020.70
Fokker_Planck,50,10.0%,1.104669e-03,9.558667e-02,2.191015e-01,630.97,1022.20
Fokker_Planck,50,20.0%,1.676194e-03,1.677268e-01,3.090889e-01,630.97,1020.07
Fokker_Planck,100,1.0%,1.043689e-03,2.686260e-02,1.169113e-01,697.60,1024.78
Fokker_Planck,100,5.0%,7.590795e-04,5.212097e-02,1.790499e-01,697.60,1021.80
Fokker_Planck,100,10.0%,6.937574e-04,8.403762e-02,2.475460e-01,697.60,1021.29
Fokker_Planck,100,20.0%,4.428802e-04,1.444239e-01,3.586368e-01,697.60,1021.51
KPZ,20,1.0%,8.643818e-04,1.216088e-02,5.459091e-02,613.43,988.65
KPZ,20,5.0%,2.975817e-04,4.481802e-02,2.199433e-01,613.43,989.75
KPZ,20,10.0%,2.230784e-04,8.248930e-02,3.971757e-01,613.43,989.77
KPZ,20,20.0%,1.589955e-03,1.562630e-01,7.387707e-01,613.43,990.38
KPZ,50,1.0%,4.970639e-04,1.242102e-02,8.114297e-02,630.77,989.79
KPZ,50,5.0%,6.668731e-05,3.891986e-02,2.071886e-01,630.77,990.20
KPZ,50,10.0%,1.211337e-04,7.160616e-02,3.438821e-01,630.77,990.09
KPZ,50,20.0%,5.849497e-04,1.366438e-01,5.902216e-01,630.77,989.95
KPZ,100,1.0%,5.085034e-05,1.265405e-02,1.020449e-01,697.22,993.88
KPZ,100,5.0%,6.203688e-04,3.521773e-02,2.648011e-01,697.22,991.23
KPZ,100,10.0%,2.804742e-04,6.104360e-02,4.001857e-01,697.22,991.73
KPZ,100,20.0%,1.613521e-04,1.082583e-01,6.308290e-01,697.22,991.64
Allen_Cahn,20,1.0%,1.587306e-03,1.945917e-02,7.414131e-02,613.51,1018.79
Allen_Cahn,20,5.0%,1.348563e-03,6.634484e-02,1.980823e-01,613.51,1020.24
Allen_Cahn,20,10.0%,2.785091e-03,1.227471e-01,3.410963e-01,613.51,1020.34
Allen_Cahn,20,20.0%,2.369939e-03,2.277209e-01,5.861486e-01,613.51,1020.34
Allen_Cahn,50,1.0%,8.901291e-04,1.975285e-02,1.178256e-01,630.97,1020.58
Allen_Cahn,50,5.0%,4.905743e-04,6.006266e-02,2.564129e-01,630.97,1020.38
Allen_Cahn,50,10.0%,9.181675e-04,1.058977e-01,3.608254e-01,630.97,1020.44
Allen_Cahn,50,20.0%,1.097681e-03,1.927284e-01,5.308393e-01,630.97,1020.81
Allen_Cahn,100,1.0%,6.610120e-04,1.908577e-02,9.125693e-02,697.60,1024.23
Allen_Cahn,100,5.0%,6.540141e-04,5.471765e-02,2.302010e-01,697.60,1021.54
Allen_Cahn,100,10.0%,7.740578e-04,9.143238e-02,3.501179e-01,697.60,1022.03
Allen_Cahn,100,20.0%,9.714964e-04,1.565799e-01,5.088280e-01,697.60,1022.00
Fisher_KPP,20,1.0%,1.381808e-03,2.528164e-02,6.736486e-02,613.51,1018.46
Fisher_KPP,20,5.0%,2.443172e-03,5.053380e-02,1.142628e-01,613.51,1019.61
Fisher_KPP,20,10.0%,2.470742e-03,8.471964e-02,1.719319e-01,613.51,1020.35
Fisher_KPP,20,20.0%,3.787633e-03,1.528262e-01,2.612467e-01,613.51,1020.35
Fisher_KPP,50,1.0%,1.145102e-03,1.772367e-02,5.126713e-02,630.97,1020.30
Fisher_KPP,50,5.0%,8.488667e-04,4.340734e-02,1.091786e-01,630.97,1020.45
Fisher_KPP,50,10.0%,1.086048e-03,7.538392e-02,1.774540e-01,630.97,1020.07
Fisher_KPP,50,20.0%,1.816814e-03,1.326451e-01,2.787355e-01,630.97,1020.47
Fisher_KPP,100,1.0%,3.409164e-05,1.616170e-02,5.523328e-02,697.60,1023.84
Fisher_KPP,100,5.0%,1.760053e-04,4.007472e-02,1.392051e-01,697.60,1020.94
Fisher_KPP,100,10.0%,9.699559e-04,6.716043e-02,2.359330e-01,697.60,1022.73
Fisher_KPP,100,20.0%,1.052806e-03,1.103855e-01,3.735161e-01,697.60,1022.18
Zeldovich,20,1.0%,1.590809e-03,2.621110e-02,1.343440e-01,613.51,1019.10
Zeldovich,20,5.0%,2.113410e-03,4.531509e-02,2.063194e-01,613.51,1020.13
Zeldovich,20,10.0%,1.729254e-03,7.291918e-02,3.071401e-01,613.51,1020.13
Zeldovich,20,20.0%,2.553476e-03,1.298548e-01,4.931276e-01,613.51,1020.17
Zeldovich,50,1.0%,6.965708e-04,2.081749e-02,1.247275e-01,630.97,1021.36
Zeldovich,50,5.0%,7.392507e-04,4.169310e-02,2.144040e-01,630.97,1021.51
Zeldovich,50,10.0%,9.369481e-04,6.919510e-02,3.232874e-01,630.97,1020.08
Zeldovich,50,20.0%,2.070589e-03,1.176787e-01,4.846371e-01,630.97,1020.14
Zeldovich,100,1.0%,1.051043e-03,1.328132e-02,1.005891e-01,697.60,1024.03
Zeldovich,100,5.0%,6.171368e-04,3.263523e-02,2.349191e-01,697.60,1021.37
Zeldovich,100,10.0%,6.317967e-04,5.525677e-02,3.954173e-01,697.60,1021.85
Zeldovich,100,20.0%,1.145813e-03,9.184143e-02,5.846488e-01,697.60,1024.07
